Code,Name,Freq_Score,3Y,5Y,10Y,15Y,20Y,Avg_Return,Std_Dev,Risk_Grade
127067,Reliance Fixed Horizon Fund - XXV - Series 21 - Direct Plan - Growth Option,0,8.55,-100.0,-100.0,-100.0,-100,8.55,0.0,Low
127083,Reliance Fixed Horizon Fund - XXV - Series 22 - Direct Plan - Growth Option,0,8.57,-100.0,-100.0,-100.0,-100,8.57,0.0,Low
127538,Reliance Fixed Horizon Fund - XXV - Series 26 - Direct Plan - Growth Option,0,7.65,-100.0,-100.0,-100.0,-100,7.65,0.43,Low
127547,Reliance Fixed Horizon Fund - XXV - Series 28 - Direct Plan - Growth Option,0,8.36,-100.0,-100.0,-100.0,-100,8.36,0.74,Low
128181,Reliance Fixed Horizon Fund - XXV - Series 32 - Direct Plan - Growth Option,0,8.61,-100.0,-100.0,-100.0,-100,8.61,0.0,Low
127362,Reliance Fixed Horizon Fund - XXV - Series 25 - Direct Plan - Growth Option,0,9.18,-100.0,-100.0,-100.0,-100,9.18,0.0,Low
127264,Reliance Fixed Horizon Fund - XXV - Series 24 - Direct Plan - Growth Option,0,8.6,-100.0,-100.0,-100.0,-100,8.6,0.0,Low
128185,Reliance Fixed Horizon Fund - XXV - Series 33 - Direct Plan - Growth Option,0,8.53,-100.0,-100.0,-100.0,-100,8.53,0.0,Low
125357,Reliance Fixed Horizon Fund - XXV - Series 3 - Direct Plan - Growth Option,0,8.29,-100.0,-100.0,-100.0,-100,8.29,0.52,Low
127735,Reliance Fixed Horizon Fund - XXV - Series 30 - Direct Plan - Growth Option,0,8.32,-100.0,-100.0,-100.0,-100,8.32,0.74,Low
127240,Reliance Fixed Horizon Fund - XXV - Series 23 - Direct Plan - Growth Option,0,8.89,-100.0,-100.0,-100.0,-100,8.89,0.54,Low
127844,Reliance Fixed Horizon Fund - XXV - Series 31 - Direct Plan - Growth Option,0,8.51,-100.0,-100.0,-100.0,-100,8.51,0.0,Low
127541,Reliance Fixed Horizon Fund - XXV - Series 27 - Direct Plan - Growth Option,0,8.35,-100.0,-100.0,-100.0,-100,8.35,0.75,Low
128199,Reliance Fixed Horizon Fund - XXV - Series 34 - Direct Plan - Growth Option,0,8.62,-100.0,-100.0,-100.0,-100,8.62,0.0,Low
128318,Reliance Fixed Horizon Fund - XXV - Series 35- Direct Plan - Growth Option,0,8.14,9.28,-100.0,-100.0,-100,8.71,0.86,Low
125390,Reliance Fixed Horizon Fund - XXV - Series 4 - Direct Plan - Growth Option,0,8.64,-100.0,-100.0,-100.0,-100,8.64,0.0,Low
125528,Reliance Fixed Horizon Fund - XXV - Series 6 - Direct Plan - Growth Option,0,8.33,-100.0,-100.0,-100.0,-100,8.33,0.54,Low
127911,Reliance Fixed Horizon Fund - XXVI - Series 1 - Direct Plan - Growth Option,0,8.73,-100.0,-100.0,-100.0,-100,8.73,0.57,Low
129114,Reliance Fixed Horizon Fund - XXVI - Series 14- Direct Plan - Growth Option,0,8.96,-100.0,-100.0,-100.0,-100,8.96,0.96,Low
129291,Reliance Fixed Horizon Fund - XXVI - Series 17- Direct Plan - Growth Option,0,8.49,-100.0,-100.0,-100.0,-100,8.49,0.0,Low
129296,Reliance Fixed Horizon Fund - XXVI - Series 18- Direct Plan - Growth Option,0,8.41,-100.0,-100.0,-100.0,-100,8.41,0.0,Low
128082,Reliance Fixed Horizon Fund - XXVI - Series 2 - Direct Plan - Growth Option,0,7.72,-100.0,-100.0,-100.0,-100,7.72,0.46,Low
130190,Reliance Fixed Horizon Fund - XXVI - Series 29 - Direct Plan - Growth Option,0,8.41,-100.0,-100.0,-100.0,-100,8.41,0.0,Low
130194,Reliance Fixed Horizon Fund - XXVI - Series 30 - Direct Plan - Growth Option,0,8.44,-100.0,-100.0,-100.0,-100,8.44,0.56,Low
130228,Reliance Fixed Horizon Fund - XXVI - Series 31 - Direct Plan - Growth Option,0,8.48,-100.0,-100.0,-100.0,-100,8.48,0.0,Low
128460,Reliance Fixed Horizon Fund - XXVI - Series 4-Direct Plan - Growth Option,0,9.33,-100.0,-100.0,-100.0,-100,9.33,0.0,Low
135158,Reliance Fixed Horizon Fund XXIX - Series 2 - Direct Plan - Growth Option,0,8.35,-100.0,-100.0,-100.0,-100,8.35,0.0,Low
135559,Reliance Fixed Horizon Fund XXIX- Series 13- Direct Plan-Growth Option,0,9.12,-100.0,-100.0,-100.0,-100,9.12,0.0,Low
122324,Reliance Fixed Horizon Fund XXIII - Series 10 - Direct Plan - Growth Option,0,8.38,-100.0,-100.0,-100.0,-100,8.38,0.0,Low
135094,Reliance Fixed Horizon Fund XXIX - Series 1- Direct Plan-Growth Option,0,8.34,-100.0,-100.0,-100.0,-100,8.34,0.0,Low
